     10.8  5.91e+06  7.88e+04  1.33e+04 
     10.8  5.91e+06  7.94e+04  1.34e+04 
     10.8  5.91e+06  8.01e+04  1.35e+04 
     10.8  5.91e+06  8.07e+04  1.36e+04 
     10.8   5.9e+06  8.14e+04  1.37e+04 
     10.8   5.9e+06   8.2e+04  1.38e+04 
     10.8   5.9e+06  8.27e+04  1.39e+04 
     10.8   5.9e+06  8.33e+04   1.4e+04 
     10.9   5.9e+06   8.4e+04  1.41e+04 
     10.9   5.9e+06  8.46e+04  1.42e+04 
     10.9   5.9e+06  8.53e+04  1.44e+04 
     10.9   5.9e+06  8.59e+04  1.45e+04 
     10.9   5.9e+06  8.66e+04  1.46e+04 
     10.9   5.9e+06  8.73e+04  1.47e+04 
     10.9   5.9e+06  8.79e+04  1.48e+04 
     10.9   5.9e+06  8.86e+04  1.49e+04 
     10.9   5.9e+06  8.93e+04   1.5e+04 
     10.9  5.89e+06  8.99e+04  1.51e+04 
     10.9  5.89e+06  9.06e+04  1.53e+04 
       11  5.89e+06  9.13e+04  1.54e+04 
       11  5.89e+06  9.19e+04  1.55e+04 
       11  5.89e+06  9.26e+04  1.56e+04 
       11  5.89e+06  9.33e+04  1.57e+04 
       11  5.89e+06   9.4e+04  1.58e+04 
       11  5.89e+06  9.46e+04  1.59e+04 
       11  5.89e+06  9.53e+04  1.61e+04 
       11  5.89e+06   9.6e+04  1.62e+04 
       11  5.89e+06  9.67e+04  1.63e+04 
       11  5.89e+06  9.74e+04  1.64e+04 
       11  5.89e+06  9.81e+04  1.65e+04 
       11  5.88e+06  9.88e+04  1.66e+04 
     11.1  5.88e+06  9.94e+04  1.68e+04 
     11.1  5.88e+06     1e+05  1.69e+04 
     11.1  5.88e+06  1.01e+05   1.7e+04 
     11.1  5.88e+06  1.02e+05  1.71e+04 
     11.1  5.88e+06  1.02e+05  1.72e+04 
     11.1  5.88e+06  1.03e+05  1.74e+04 
     11.1  5.88e+06  1.04e+05  1.75e+04 
     11.1  5.88e+06  1.04e+05  1.76e+04 
     11.1  5.88e+06  1.05e+05  1.77e+04 
     11.1  5.88e+06  1.06e+05  1.78e+04 
     11.1  5.88e+06  1.06e+05   1.8e+04 
     11.1  5.87e+06  1.07e+05  1.81e+04 
     11.1  5.87e+06  1.08e+05  1.82e+04 
     11.2  5.87e+06  1.09e+05  1.83e+04 
     11.2  5.87e+06  1.09e+05  1.84e+04 
     11.2  5.87e+06   1.1e+05  1.86e+04 
     11.2  5.87e+06  1.11e+05  1.87e+04 
     11.2  5.87e+06  1.11e+05  1.88e+04 
     11.2  5.87e+06  1.12e+05  1.89e+04 
     11.2  5.87e+06  1.13e+05  1.91e+04 
     11.2  5.87e+06  1.14e+05  1.92e+04 
     11.2  5.87e+06  1.14e+05  1.93e+04 
     11.2  5.87e+06  1.15e+05  1.94e+04 
     11.2  5.86e+06  1.16e+05  1.95e+04 
     11.2  5.86e+06  1.16e+05  1.97e+04 
     11.2  5.86e+06  1.17e+05  1.98e+04 
     11.3  5.86e+06  1.18e+05  1.99e+04 
     11.3  5.86e+06  1.19e+05     2e+04 
     11.3  5.86e+06  1.19e+05  2.02e+04 
     11.3  5.86e+06   1.2e+05  2.03e+04 
     11.3  5.86e+06  1.21e+05  2.04e+04 
     11.3  5.86e+06  1.22e+05  2.06e+04 
     11.3  5.86e+06  1.22e+05  2.07e+04 
     11.3  5.86e+06  1.23e+05  2.08e+04 
     11.3  5.86e+06  1.24e+05  2.09e+04 
     11.3  5.85e+06  1.25e+05  2.11e+04 
     11.3  5.85e+06  1.25e+05  2.12e+04 
     11.3  5.85e+06  1.26e+05  2.13e+04 
     11.3  5.85e+06  1.27e+05  2.14e+04 
     11.4  5.85e+06  1.28e+05  2.16e+04 
     11.4  5.85e+06  1.28e+05  2.17e+04 
     11.4  5.85e+06  1.29e+05  2.18e+04 
     11.4  5.85e+06   1.3e+05   2.2e+04 
     11.4  5.85e+06  1.31e+05  2.21e+04 
     11.4  5.85e+06  1.31e+05  2.22e+04 
     11.4  5.85e+06  1.32e+05  2.24e+04 
     11.4  5.84e+06  1.33e+05  2.25e+04 
     11.4  5.84e+06  1.34e+05  2.26e+04 
     11.4  5.84e+06  1.34e+05  2.27e+04 
     11.4  5.84e+06  1.35e+05  2.29e+04 
     11.4  5.84e+06  1.36e+05   2.3e+04 
     11.4  5.84e+06  1.37e+05  2.31e+04 
     11.4  5.84e+06  1.37e+05  2.33e+04 
     11.4  5.84e+06  1.38e+05  2.34e+04 
     11.5  5.84e+06  1.39e+05  2.35e+04 
     11.5  5.84e+06   1.4e+05  2.37e+04 
     11.5  5.84e+06  1.41e+05  2.38e+04 
     11.5  5.83e+06  1.41e+05  2.39e+04 
     11.5  5.83e+06  1.42e+05  2.41e+04 
     11.5  5.83e+06  1.43e+05  2.42e+04 
     11.5  5.83e+06  1.44e+05  2.43e+04 
     11.5  5.83e+06  1.44e+05  2.45e+04 
     11.5  5.83e+06  1.45e+05  2.46e+04 
     11.5  5.83e+06  1.46e+05  2.47e+04 
     11.5  5.83e+06  1.47e+05  2.49e+04 
     11.5  5.83e+06  1.48e+05   2.5e+04 
     11.5  5.83e+06  1.48e+05  2.52e+04 
     11.5  5.83e+06  1.49e+05  2.53e+04 
     11.5  5.82e+06   1.5e+05  2.54e+04 
     11.6  5.82e+06  1.51e+05  2.56e+04 
     11.6  5.82e+06  1.52e+05  2.57e+04 
     11.6  5.82e+06  1.52e+05  2.58e+04 
     11.6  5.82e+06  1.53e+05   2.6e+04 
     11.6  5.82e+06  1.54e+05  2.61e+04 
     11.6  5.82e+06  1.55e+05  2.63e+04 
     11.6  5.82e+06  1.56e+05  2.64e+04 
     11.6  5.82e+06  1.56e+05  2.65e+04 
     11.6  5.82e+06  1.57e+05  2.67e+04 
     11.6  5.82e+06  1.58e+05  2.68e+04 
     11.6  5.81e+06  1.59e+05  2.69e+04 
     11.6  5.81e+06   1.6e+05  2.71e+04 
     11.6  5.81e+06   1.6e+05  2.72e+04 
     11.6  5.81e+06  1.61e+05  2.74e+04 
     11.6  5.81e+06  1.62e+05  2.75e+04 
     11.6  5.81e+06  1.63e+05  2.76e+04 
     11.7  5.81e+06  1.64e+05  2.78e+04 
     11.7  5.81e+06  1.64e+05  2.79e+04 
     11.7  5.81e+06  1.65e+05  2.81e+04 
     11.7  5.81e+06  1.66e+05  2.82e+04 
     11.7   5.8e+06  1.67e+05  2.84e+04 
     11.7   5.8e+06  1.68e+05  2.85e+04 
     11.7   5.8e+06  1.69e+05  2.86e+04 
     11.7   5.8e+06  1.69e+05  2.88e+04 
     11.7   5.8e+06   1.7e+05  2.89e+04 
     11.7   5.8e+06  1.71e+05  2.91e+04 
     11.7   5.8e+06  1.72e+05  2.92e+04 
     11.7   5.8e+06  1.73e+05  2.94e+04 
     11.7   5.8e+06  1.74e+05  2.95e+04 
     11.7   5.8e+06  1.74e+05  2.97e+04 
     11.7   5.8e+06  1.75e+05  2.98e+04 
     11.7  5.79e+06  1.76e+05  2.99e+04 
     11.7  5.79e+06  1.77e+05  3.01e+04 
     11.8  5.79e+06  1.78e+05  3.02e+04 
     11.8  5.79e+06  1.79e+05  3.04e+04 
     11.8  5.79e+06  1.79e+05  3.05e+04 
     11.8  5.79e+06   1.8e+05  3.07e+04 
     11.8  5.79e+06  1.81e+05  3.08e+04 
     11.8  5.79e+06  1.82e+05   3.1e+04 
     11.8  5.79e+06  1.83e+05  3.11e+04 
     11.8  5.79e+06  1.84e+05  3.13e+04 
     11.8  5.78e+06  1.84e+05  3.14e+04 
