    0.435    -0.639     0.358    -0.439    -0.315      1.08   -0.0429      1.04   -0.0388     -1.11    -0.428    0.0658     0.467 
    0.439    -0.635     0.358    -0.443    -0.316      1.08   -0.0411      1.04   -0.0466     -1.11    -0.421    0.0631     0.467 
    0.443    -0.631     0.357    -0.447    -0.318      1.08   -0.0393      1.05   -0.0543     -1.11    -0.413    0.0603     0.467 
    0.447    -0.627     0.357    -0.452     -0.32      1.08   -0.0376      1.05   -0.0621     -1.11    -0.405    0.0575     0.467 
    0.451    -0.623     0.357    -0.456    -0.321      1.08   -0.0358      1.05     -0.07     -1.11    -0.397    0.0548     0.467 
    0.454    -0.619     0.357     -0.46    -0.323      1.08    -0.034      1.06   -0.0778     -1.11    -0.389     0.052     0.467 
    0.458    -0.615     0.356    -0.464    -0.324      1.08   -0.0322      1.06   -0.0857     -1.11    -0.382    0.0493     0.467 
    0.462    -0.611     0.356    -0.468    -0.325      1.08   -0.0305      1.06   -0.0936     -1.11    -0.374    0.0466     0.467 
    0.466    -0.607     0.356    -0.473    -0.327      1.08   -0.0287      1.06    -0.102     -1.11    -0.366    0.0439     0.467 
     0.47    -0.603     0.355    -0.477    -0.328      1.08   -0.0269      1.07     -0.11     -1.11    -0.358    0.0411     0.467 
    0.473    -0.599     0.355    -0.481     -0.33      1.08   -0.0252      1.07    -0.118     -1.11     -0.35    0.0384     0.467 
    0.477    -0.595     0.354    -0.485    -0.331      1.08   -0.0234      1.07    -0.126     -1.11    -0.342    0.0357     0.467 
    0.481    -0.591     0.354    -0.489    -0.332      1.08   -0.0216      1.07    -0.134     -1.11    -0.334     0.033     0.467 
    0.485    -0.587     0.353    -0.494    -0.333      1.08   -0.0199      1.08    -0.142     -1.11    -0.326    0.0303     0.467 
    0.488    -0.583     0.353    -0.498    -0.335      1.08   -0.0181      1.08     -0.15     -1.11    -0.318    0.0277     0.467 
    0.492    -0.579     0.352    -0.502    -0.336      1.08   -0.0164      1.08    -0.158     -1.11     -0.31     0.025     0.467 
    0.496    -0.575     0.352    -0.506    -0.337      1.08   -0.0146      1.08    -0.166     -1.11    -0.301    0.0223     0.467 
      0.5    -0.571     0.351     -0.51    -0.338      1.08   -0.0129      1.08    -0.174      -1.1    -0.293    0.0196     0.467 
    0.503    -0.566      0.35    -0.514    -0.339      1.08   -0.0111      1.09    -0.182      -1.1    -0.285    0.0169     0.467 
    0.507    -0.562      0.35    -0.518     -0.34      1.08  -0.00936      1.09     -0.19      -1.1    -0.277    0.0143     0.467 
    0.511    -0.558     0.349    -0.523    -0.341      1.08  -0.00761      1.09    -0.198      -1.1    -0.269    0.0116     0.467 
    0.515    -0.554     0.348    -0.527    -0.342      1.08  -0.00586      1.09    -0.206      -1.1    -0.261   0.00892     0.467 
    0.518     -0.55     0.347    -0.531    -0.343      1.08  -0.00411      1.09    -0.214      -1.1    -0.253   0.00626     0.467 
    0.522    -0.546     0.346    -0.535    -0.344      1.08  -0.00236       1.1    -0.223      -1.1    -0.245   0.00359     0.467 
    0.526    -0.542     0.346    -0.539    -0.345      1.08 -0.000607       1.1    -0.231      -1.1    -0.236  0.000927     0.467 
     0.53    -0.538     0.345    -0.543    -0.346      1.08   0.00114       1.1    -0.239      -1.1    -0.228  -0.00174     0.467 
    0.533    -0.534     0.344    -0.547    -0.347      1.08   0.00289       1.1    -0.247     -1.09     -0.22   -0.0044     0.467 
    0.537     -0.53     0.343    -0.551    -0.347      1.08   0.00464       1.1    -0.255     -1.09    -0.212  -0.00706     0.467 
    0.541    -0.525     0.342    -0.555    -0.348      1.08   0.00639       1.1    -0.263     -1.09    -0.204  -0.00973     0.467 
    0.545    -0.521     0.341     -0.56    -0.349      1.08   0.00813       1.1    -0.271     -1.09    -0.196   -0.0124     0.467 
    0.548    -0.517      0.34    -0.564     -0.35      1.08   0.00988       1.1    -0.279     -1.09    -0.188   -0.0151     0.467 
    0.552    -0.513     0.339    -0.568     -0.35      1.08    0.0116       1.1    -0.288     -1.09     -0.18   -0.0177     0.467 
    0.556    -0.509     0.338    -0.572    -0.351      1.08    0.0134       1.1    -0.296     -1.08    -0.172   -0.0204     0.467 
     0.56    -0.505     0.337    -0.576    -0.352      1.08    0.0151      1.11    -0.304     -1.08    -0.163   -0.0231     0.467 
    0.563    -0.501     0.335     -0.58    -0.352      1.08    0.0169      1.11    -0.312     -1.08    -0.155   -0.0257     0.467 
    0.567    -0.497     0.334    -0.584    -0.353      1.08    0.0186      1.11     -0.32     -1.08    -0.147   -0.0284     0.467 
    0.571    -0.492     0.333    -0.588    -0.353      1.08    0.0204      1.11    -0.328     -1.08    -0.139   -0.0311     0.467 
    0.575    -0.488     0.332    -0.592    -0.354      1.08    0.0221      1.11    -0.336     -1.07    -0.131   -0.0338     0.467 
    0.578    -0.484     0.331    -0.596    -0.354      1.08    0.0239      1.11    -0.344     -1.07    -0.123   -0.0365     0.467 
    0.582     -0.48     0.329      -0.6    -0.355      1.08    0.0256      1.11    -0.352     -1.07    -0.115   -0.0392     0.467 
    0.586    -0.476     0.328    -0.604    -0.355      1.08    0.0274      1.11     -0.36     -1.07    -0.108   -0.0419     0.467 
     0.59    -0.472     0.326    -0.608    -0.356      1.08    0.0291      1.11    -0.368     -1.06   -0.0996   -0.0446     0.467 
    0.593    -0.467     0.325    -0.612    -0.356      1.08    0.0309      1.11    -0.376     -1.06   -0.0917   -0.0473     0.467 
    0.597    -0.463     0.324    -0.616    -0.356      1.08    0.0327      1.11    -0.383     -1.06   -0.0839     -0.05     0.467 
    0.601    -0.459     0.322     -0.62    -0.357      1.08    0.0344      1.11    -0.391     -1.05    -0.076   -0.0527     0.467 
    0.605    -0.455     0.321    -0.624    -0.357      1.08    0.0362      1.11    -0.399     -1.05   -0.0682   -0.0554     0.467 
    0.608    -0.451     0.319    -0.628    -0.357      1.08     0.038      1.11    -0.407     -1.05   -0.0605   -0.0581     0.467 
    0.612    -0.447     0.318    -0.632    -0.357      1.08    0.0397      1.11    -0.415     -1.05   -0.0527   -0.0609     0.467 
    0.616    -0.442     0.316    -0.636    -0.358      1.08    0.0415      1.11    -0.422     -1.04    -0.045   -0.0636     0.467 
     0.62    -0.438     0.314     -0.64    -0.358      1.08    0.0433       1.1     -0.43     -1.04   -0.0374   -0.0664     0.467 
    0.624    -0.434     0.313    -0.644    -0.358      1.08     0.045       1.1    -0.438     -1.04   -0.0298   -0.0691     0.467 
    0.627     -0.43     0.311    -0.648    -0.358      1.08    0.0468       1.1    -0.445     -1.03   -0.0222   -0.0719     0.467 
    0.631    -0.426     0.309    -0.652    -0.358      1.08    0.0486       1.1    -0.453     -1.03   -0.0146   -0.0747     0.467 
    0.635    -0.421     0.308    -0.655    -0.358      1.08    0.0503       1.1     -0.46     -1.02  -0.00711   -0.0775     0.467 
    0.639    -0.417     0.306    -0.659    -0.358      1.08    0.0521       1.1    -0.468     -1.02  0.000359   -0.0803     0.467 
    0.643    -0.413     0.304    -0.663    -0.358      1.08    0.0539       1.1    -0.475     -1.02   0.00778   -0.0831     0.467 
    0.646    -0.409     0.302    -0.667    -0.358      1.08    0.0557       1.1    -0.482     -1.01    0.0152   -0.0859     0.467 
     0.65    -0.405       0.3    -0.671    -0.358      1.08    0.0575       1.1     -0.49     -1.01    0.0225   -0.0887     0.467 
    0.654      -0.4     0.299    -0.675    -0.358      1.08    0.0593       1.1    -0.497        -1    0.0298   -0.0916     0.467 
    0.658    -0.396     0.297    -0.679    -0.358      1.07    0.0611       1.1    -0.504        -1     0.037   -0.0944     0.467 
    0.662    -0.392     0.295    -0.682    -0.358      1.07    0.0629      1.09    -0.512    -0.997    0.0442   -0.0973     0.467 
    0.666    -0.388     0.293    -0.686    -0.357      1.07    0.0647      1.09    -0.519    -0.992    0.0514      -0.1     0.467 
    0.669    -0.384     0.291     -0.69    -0.357      1.07    0.0665      1.09    -0.526    -0.988    0.0585    -0.103     0.467 
    0.673    -0.379     0.289    -0.694    -0.357      1.07    0.0683      1.09    -0.533    -0.984    0.0655    -0.106     0.467 
    0.677    -0.375     0.287    -0.698    -0.357      1.07    0.0701      1.09     -0.54    -0.979    0.0725    -0.109     0.467 
    0.681    -0.371     0.284    -0.702    -0.356      1.07    0.0719      1.09    -0.547    -0.975    0.0794    -0.112     0.467 
    0.685    -0.367     0.282    -0.705    -0.356      1.07    0.0737      1.08    -0.554     -0.97    0.0863    -0.115     0.467 
    0.689    -0.363      0.28    -0.709    -0.356      1.07    0.0755      1.08     -0.56    -0.965    0.0931    -0.118     0.467 
